date,id,text,username
2021-10-29T16:54:45+00:00,1454129591350608000,"The Queen advised by doctors to rest for two further weeks and will not undertake official visits during this time, Buckingham Palace says https://t.co/7CSuQuf3NE",BBCBreaking
2021-10-27T12:03:47+00:00,1453331589962899500,"UK economy to return to pre-Covid levels by end of 2021, Chancellor Rishi Sunak announces in Budget speech https://t.co/d3IJdhPEkQ",BBCBreaking
2021-10-26T17:06:45+00:00,1453045448575422500,"The Queen will not go to next week's COP26 climate change summit in Glasgow to meet world leaders, after being advised to rest, Buckingham Palace says

https://t.co/TPEaXvttLV",BBCBreaking
2021-10-26T09:19:11+00:00,1452927779989823500,"Former Rangers, Everton and Scotland manager Walter Smith dies at age 73 https://t.co/l5LJS8TXkU",BBCBreaking
2021-10-25T11:51:55+00:00,1452603830579994600,"UK National Living Wage set to be raised to £9.50 an hour, from £8.91 an hour, in Wednesday's budget https://t.co/p6tOyZ80WH",BBCBreaking
2021-10-15T13:34:55+00:00,1449005870344454100,US announces it will reopen its borders to fully vaccinated travellers from 8 November https://t.co/a7IJ3ej6WG,BBCBreaking
2021-10-06T15:06:04+00:00,1445767318869463000,"Dubai ruler Sheikh Mohammed Al-Maktoum ordered the hacking of mobile phones during his divorce custody case with Princess Haya, UK court says 

https://t.co/VmDHDbilrg",BBCBreaking
2021-10-01T05:17:24+00:00,1443807234937565200,"After years of controversy, Japan’s Princess Mako will marry her former classmate, a commoner, this month and give up her royal status

https://t.co/2Um7skGBZq",BBCBreaking
2021-09-25T21:30:46+00:00,1441877863498719200,"5,000 overseas lorry drivers and 5,500 poultry workers will be eligible for three-month UK visas until Christmas Eve https://t.co/g9bCbEtucP",BBCBreaking
2021-09-25T01:29:17+00:00,1441575501437579300,"Two Canadians detained in China since 2018 are flying home, Trudeau says, after a US deal freed a Huawei executive https://t.co/pHx58NsG7e",BBCBreaking
2021-09-15T04:44:14+00:00,1438000685329653800,"North Korea fires two ballistic missiles, South Korea says

https://t.co/fqsQLTtYul",BBCBreaking
2021-09-07T14:55:58+00:00,1435255529165705200,"Taliban announce government for Afghanistan, led by one of their founders, with an FBI-wanted militant as interior
minister https://t.co/njuZL3LRK3",BBCBreaking
2022-03-18T08:10:04+00:00,1504731851998519300,"Russian state-backed news channel RT's licence to broadcast in UK revoked ""with immediate effect"", regulator Ofcom says
 
https://t.co/fH6nO11ZUU",BBCBreaking
2022-03-04T14:29:15+00:00,1499753844359770000,"Legendary Australian leg-spinner Shane Warne, one of the greatest cricketers of all time, dies of suspected heart attack aged 52 https://t.co/EBjLRYBW8f",BBCBreaking
2022-03-03T17:39:23+00:00,1499439305076453400,"Vladimir Putin insists Ukraine invasion ""going to plan"" as humanitarian crisis grows in cities under Russian bombardment 

https://t.co/kS77xLMXDB",BBCBreaking
2022-03-16T17:11:55+00:00,1504143436919804000,"Russia bombs theatre in Ukrainian city of Mariupol where hundreds of civilians were sheltering, deputy mayor says https://t.co/KPOwGIUDBQ",BBCBreaking
2022-03-11T11:21:58+00:00,1502243430973513700,"London's Metropolitan Police breached the rights of organisers of planned vigil for Sarah Everard, judges rule

https://t.co/VOudSjQA2e",BBCBreaking
2022-03-30T22:44:12+00:00,1509300487371251700,"Will Smith was asked to leave Oscars ceremony after hitting Chris Rock but refused, Academy says https://t.co/WqW09kNXIc",BBCBreaking
2022-03-30T10:42:09+00:00,1509118778411466800,"""Nothing very promising"" in peace talks with Ukraine so far, Russian President Putin's spokesman says

Follow live updates here: https://t.co/PXAC9A5ZB0",BBCBreaking
2022-03-28T23:41:22+00:00,1508590100124422100,“My behaviour was unacceptable and inexcusable” - Will Smith apologises after slapping Chris Rock at the Oscars https://t.co/GCUFe3DPrJ,BBCBreaking
2022-03-28T19:34:18+00:00,1508527923996905500,"The Oscars film academy ""condemns"" Will Smith's slapping of Chris Rock and says it has launched formal review of incident https://t.co/cHWY1pRs9W",BBCBreaking
2022-03-28T16:51:51+00:00,1508487039464976400,"Russian billionaire Roman Abramovich suffered symptoms of suspected poisoning at peace talks in Kyiv earlier this month, spokesperson says https://t.co/SBs3nSLJVy",BBCBreaking
2022-03-29T15:01:52+00:00,1508821749764341800,"More than 200 babies in England might have survived if they had been given better maternity care by NHS Trust, BBC learns https://t.co/kCdUjqDnY1",BBCBreaking
2022-03-29T12:01:56+00:00,1508776467659960300,"Russia says it will ""drastically reduce"" assault on Ukraine's capital Kyiv, where its advance is stalled https://t.co/OQQ128oy8i",BBCBreaking
2022-03-29T08:31:44+00:00,1508723571190911000,"Police recommend 20 fines should initially be issued over Downing Street parties that breached Covid lockdown rules

https://t.co/7m7iniTyF1",BBCBreaking
2022-03-25T08:55:57+00:00,1507280114685558800,EU signs US gas deal to curb reliance on Russian energy https://t.co/2BzhjWU8Wl,BBCBreaking
